hidden_layers,neurons,activation,solver,learning_rate,learning_rate_init,early_stopping,training_time,accuracy,confusion_matrix
1,100,relu,sgd,constant,0.001,False,29.625565767288208,0.8694,[[822   2  15  44   4   0 103   0   9   1]; [  3 962   2  24   4   0   5   0   0   0]; [ 16   0 818  13  88   1  61   0   3   0]; [ 25   9  17 886  30   1  28   0   4   0]; [  0   0 108  36 783   0  70   0   3   0]; [  0   0   0   1   0 935   0  38   2  24]; [119   2 109  37  73   1 641   1  17   0]; [  0   0   0   0   0  28   0 943   0  29]; [  4   1   3  10   3   6  12   6 954   1]; [  0   0   0   0   0  10   1  39   0 950]]
2,100,relu,sgd,constant,0.001,False,2.2284107208251953,0.7741,[[772   5  14  91   4   7  87   0  20   0]; [  6 930  12  39   6   0   6   0   1   0]; [ 19   3 672  11 155   8 116   0  16   0]; [ 45  16   9 841  28   2  51   0   8   0]; [  2   6 147  46 697   2  90   0  10   0]; [  0   0   0   3   0 791   3 143   8  52]; [216   5 147  47 155   9 384   1  36   0]; [  0   0   0   0   0  79   0 852   1  68]; [  4   2  14  21   3  27  19  16 892   2]; [  1   1   0   1   0  34   0  52   1 910]]
4,100,relu,sgd,constant,0.001,False,0.12841105461120605,0.1038,[[ 74   2 394   0   0  45   5   0 416  64]; [  1   1 604   0   0  47  16   0 238  93]; [ 15   0 610   0   0  26  32   0 250  67]; [  2   0 559   0   0  48  12   0 329  50]; [ 15   0 663   0   0  16  14   0 262  30]; [ 29   8 358   0   0  42  16   0 399 148]; [ 46   2 502   0   0  41  10   0 315  84]; [  6   4 707   0   0   2   6   0 251  24]; [ 31   1 571   0   0  18  15   0 288  76]; [ 18   6 828   0   0   4   0   0 131  13]]
1,20,relu,sgd,constant,0.001,False,0.09007787704467773,0.113,[[268  13   0   1  10   0 644  59   3   2]; [ 66   6   0   0  13   0 520 384   0  11]; [232  44   0  13 246   1 296 133  15  20]; [239   7   0   1   9   2 576 163   0   3]; [208  48   4   7 124   8 367 167  51  16]; [518  50   1   5 210  45  38  62   8  63]; [390  30   0  16  61   1 341 108  27  26]; [106  26   0   1 405 253   0   4  12 193]; [175 158   1   1  65   5 343 104 145   3]; [141 181   0   0  79  54  16 309  24 196]]
1,50,relu,sgd,constant,0.001,False,0.1307969093322754,0.07,[[ 14  78  11  84 209 130 346   8  86  34]; [  1  47   1  77  30   4 822   0   5  13]; [  5 319  27 143  51  63 306   2  83   1]; [ 10  64   8 142 111  38 605   1  14   7]; [  0 133  23 189  28  66 519   6  36   0]; [  2 595  10 180  61  28 114   0   9   1]; [  5 221  30 129  91  98 338   6  65  17]; [  0 639   0 298   1  10  51   0   1   0]; [  1 174  12 186 132 177 212  32  74   0]; [  0 160   9 434  29 313  43   0  10   2]]
1,200,relu,sgd,constant,0.001,False,0.13318395614624023,0.098,[[133   1 141  26  58  19 243  42 222 115]; [154   0 121   2 119  68 130 126 261  19]; [ 53   0 105  15  54 144  18 138 200 273]; [156   0  10   5  63  45 293  87 321  20]; [ 92   1  31   4  64 168  75  79 229 257]; [ 89   0   5  85   3  40   3   3 731  41]; [112   0  42  33  66 150 100  59 266 172]; [ 45   0   4  49   0  51   1   2 777  71]; [194   9  24  10   3 276 126   6 247 105]; [242   0   3  24  10 333   2  11  91 284]]
1,500,relu,sgd,constant,0.001,False,0.25797271728515625,0.0853,[[ 50 570   1  97   8 133   3   7 130   1]; [  4 347   4  47 441  24   2   0 130   1]; [ 18 318  48  70  24 305 151  16  44   6]; [ 16 308   2 133  48 401   1   1  89   1]; [ 27 185  29  51  15 544 125   6  15   3]; [ 18 275   0 300  58 156  44  15 131   3]; [ 51 300  12 138  25 295  84  22  70   3]; [ 33 324   0 183 150 240  18   2  50   0]; [143 526   6  59  44 165  17  22  18   0]; [  2 380   3 166  66 107 183   1  92   0]]
1,100,relu,adam,constant,0.001,False,0.14508843421936035,0.7915,[[802   9  29  62   8   1  71   0  18   0]; [  3 939  14  30   6   1   6   0   1   0]; [ 15   4 677  12 165   4 108   0  15   0]; [ 59  26  21 818  40   0  30   0   6   0]; [  1   2 121  37 734   0  95   0  10   0]; [  0   0   5   2   1 851   0 102   5  34]; [176   9 154  46 155   8 423   1  28   0]; [  0   0   0   0   0  72   0 847   0  81]; [  3   1  16   8   5  30  17   9 909   2]; [  0   0   0   1   0  36   0  45   3 915]]
1,100,relu,sgd,invscaling,0.001,False,0.1717696189880371,0.7355,[[734   3  13  96   6  25 103   1  17   2]; [  3 890  17  71   7   1   9   0   2   0]; [ 30   2 588   8 145  27 179   1  18   2]; [ 55  20  13 784  32  19  74   0   2   1]; [ 10  14 173  44 589  16 144   0   7   3]; [  2   1   1   3   0 773   2 143  10  65]; [189   5 124  64 138  46 400   0  33   1]; [  0   0   0   0   0  85   0 839   1  75]; [ 17   2  10  18   6  28  20  15 878   6]; [  1   0   1   1   0  57   0  53   7 880]]
1,100,relu,sgd,adaptive,0.001,False,0.19312596321105957,0.7267,[[760  12  18  94   7  23  73   1  11   1]; [ 21 906  16  43   3   3   6   0   2   0]; [ 18   8 634   7 133  12 169   0  18   1]; [ 76  49  16 759  24  25  48   0   3   0]; [  6  20 239  51 517  11 137   0  18   1]; [  1   3   1   0   0 811   0 110   9  65]; [235  14 145  58 168  38 306   1  35   0]; [  0   0   0   0   0  79   0 837   2  82]; [ 12   2  10  24   4  30  25  22 859  12]; [  2   3   8   1   0  47   0  59   2 878]]
1,100,relu,sgd,constant,0.1,False,0.169769287109375,0.835,[[883   4  16  29   4   2  55   0   6   1]; [  8 967   2  15   4   0   4   0   0   0]; [ 25   2 747   9 158   2  51   0   6   0]; [ 66  30   9 828  26   3  30   0   8   0]; [  4   4 114  36 777   1  58   0   6   0]; [  0   0   0   0   0 916   0  42   4  38]; [242   4 103  22 149   1 463   0  16   0]; [  0   0   0   0   0  46   0 879   3  72]; [ 21   1  11   3   7  11   4   2 939   1]; [  1   0   0   0   0  12   0  36   0 951]]
1,100,relu,sgd,constant,0.01,False,0.13550376892089844,0.8009,[[741   6  15  77   7   5 133   1  14   1]; [  1 939   6  44   4   0   5   0   1   0]; [ 19   1 674  12 206   2  76   0   9   1]; [ 30  12  12 865  27   4  45   0   5   0]; [  2   5  95  56 766   0  69   0   7   0]; [  1   1   1   1   0 869   1  80   4  42]; [168   3 126  44 171   9 460   0  19   0]; [  0   0   0   0   0  69   0 866   1  64]; [  4   0  17   8   6  16  19   8 917   5]; [  0   0   0   0   0  27   1  60   0 912]]
1,100,relu,sgd,constant,0.0001,False,0.2247464656829834,0.3735,[[624 128  56 120  23  44   0   2   1   2]; [ 49 654   2 264   5  26   0   0   0   0]; [302 118 181  54 292  21   2   4   8  18]; [ 57 262   9 586  58  27   0   0   0   1]; [200 115 189 129 344   9   0   6   6   2]; [ 24  25  12  14  64 515   0  44   8 294]; [324 171 197  81 124  65   1   7  11  19]; [  2   4   9   1 109 367   0 157   5 346]; [102  28 166  61 105 132   2 204 153  47]; [  8  13  53  21  47 143   1 162  32 520]]
