hidden_layers,neurons,activation,solver,learning_rate,learning_rate_init,early_stopping,training_time,accuracy,confusion_matrix
1,100,relu,sgd,constant,0.001,False,251.09755682945251,0.8807,[[833   2  17  26   5   2 105   0  10   0]; [  3 967   2  18   7   0   2   0   1   0]; [ 23   1 809  12  74   0  77   0   4   0]; [ 29   9  11 879  36   0  32   0   4   0]; [  0   1  94  25 821   0  57   0   2   0]; [  0   0   0   1   1 946   0  27   2  23]; [117   4  95  26  63   0 685   0  10   0]; [  0   0   0   0   0  17   0 958   0  25]; [  4   0   9   8   6   6   8   4 954   1]; [  1   0   0   0   0   7   3  34   0 955]]
2,100,relu,sgd,constant,0.001,False,198.17222666740417,0.8721,[[814   0  17  29   6   0 125   0   9   0]; [  6 968   2  13   7   0   3   0   1   0]; [ 18   1 801  16  87   1  75   0   1   0]; [ 32   8  17 859  40   1  39   0   4   0]; [  4   1 100  37 792   0  65   0   1   0]; [  0   0   0   1   1 951   0  25   2  20]; [119   2  84  26  78   1 681   0   9   0]; [  0   0   0   0   0  20   0 950   0  30]; [  6   0   5   7   4   1  19   6 952   0]; [  1   0   0   0   0   9   2  35   0 953]]
4,100,relu,sgd,constant,0.001,False,168.52051615715027,0.8735,[[809   1  18  27   8   1 127   0   9   0]; [  6 969   5   9   7   0   4   0   0   0]; [ 20   2 790  13  94   1  76   0   4   0]; [ 22  13  16 877  31   1  33   0   7   0]; [  5   0  88  30 806   0  68   0   3   0]; [  0   1   1   0   1 947   1  23   3  23]; [120   4  81  27  78   3 679   0   7   1]; [  0   0   0   0   0  17   0 962   0  21]; [  5   1   6   6   7   8  16   4 947   0]; [  0   1   1   0   0  11   0  37   1 949]]
8,100,relu,sgd,constant,0.001,False,174.95713806152344,0.869,[[813   4  17  24   6   1 125   0  10   0]; [  3 964   1  19   5   0   7   0   1   0]; [ 34   1 797  14  80   2  70   0   2   0]; [ 33  12  17 861  35   1  34   0   7   0]; [  3   2  94  34 792   1  70   0   4   0]; [  0   0   0   0   0 950   1  21   3  25]; [134   2  85  26  68   1 672   0  12   0]; [  0   0   0   0   0  24   0 948   0  28]; [  9   1   8   4   5  12  11   5 945   0]; [  0   0   0   0   0  12   2  38   0 948]]
16,100,relu,sgd,constant,0.001,False,274.832635641098,0.8581,[[793   2   9  57  11   1 122   0   5   0]; [  2 964   0  27   2   0   4   0   1   0]; [ 21   1 719   9 113   1 131   0   5   0]; [ 16  10   4 887  33   1  47   0   2   0]; [  0   1  64  34 816   0  80   0   5   0]; [  0   0   0   1   2 905   0  49   6  37]; [123   0  61  56  94   0 654   0  12   0]; [  0   0   0   0   0  11   0 957   1  31]; [ 13   0   7   6  10  11   9   6 938   0]; [  1   0   0   0   1   6   0  44   0 948]]
1,20,relu,sgd,constant,0.001,False,155.7820644378662,0.852,[[782   7  17  34   8   3 135   0  14   0]; [  4 956   4  22   7   0   3   1   3   0]; [ 22   0 770  17  99   0  80   0  12   0]; [ 43  12  12 853  33   1  39   0   7   0]; [  2   5 103  36 776   0  73   0   5   0]; [  1   0   1   0   1 934   2  26   4  31]; [130   4  93  36  75   0 649   1  12   0]; [  0   0   0   0   0  32   0 933   0  35]; [  9   1   5  10   7  10  16  13 928   1]; [  1   0   0   0   0  18   3  38   1 939]]
1,50,relu,sgd,constant,0.001,False,263.3890690803528,0.8704,[[807   2  18  27   4   0 132   1   9   0]; [  4 969   4  16   3   0   3   0   1   0]; [ 20   2 800  14  88   2  70   0   4   0]; [ 32  14  18 854  47   3  29   0   3   0]; [  2   2 106  28 799   0  60   0   3   0]; [  1   1   1   1   2 947   0  26   2  19]; [121   5  87  31  67   1 671   0  17   0]; [  0   0   0   0   0  25   0 946   0  29]; [  8   0   5   5   5   7  15   2 953   0]; [  0   0   0   0   0   9   2  31   0 958]]
1,200,relu,sgd,constant,0.001,False,379.7335412502289,0.8862,[[823   1  24  22   2   0 122   0   6   0]; [  3 973   2  11   4   0   5   0   2   0]; [ 17   1 820  13  84   1  62   0   2   0]; [ 26  11  13 870  43   1  33   0   3   0]; [  2   1  86  27 828   0  56   0   0   0]; [  0   0   0   1   0 960   0  19   4  16]; [112   2  76  26  64   0 709   0  11   0]; [  0   0   0   0   0  14   0 963   0  23]; [  7   0   2   6   5   3  12   3 962   0]; [  0   0   0   0   0  10   1  34   1 954]]
1,500,relu,sgd,constant,0.001,False,730.3306760787964,0.8921,[[844   3  15  20   4   1 102   0  11   0]; [  2 972   4  14   5   0   2   0   1   0]; [ 19   1 831  11  81   1  54   0   2   0]; [ 24   8  14 889  38   1  24   0   2   0]; [  1   1  80  31 832   1  51   0   3   0]; [  0   0   0   1   0 967   0  15   2  15]; [116   0  84  26  60   0 706   0   8   0]; [  0   0   0   0   0  18   0 958   0  24]; [  5   0   5   7   7   4   6   4 961   1]; [  0   0   0   0   0  10   1  28   0 961]]
1,100,logistic,sgd,constant,0.001,False,627.0255396366119,0.8848,[[849   2  12  24   9   0  95   0   9   0]; [  3 971   3  15   3   0   5   0   0   0]; [ 21   1 810  10  86   1  69   0   2   0]; [ 27   7  12 891  33   1  24   0   5   0]; [  1   0  86  25 820   1  63   0   4   0]; [  0   0   1   1   0 947   0  25   3  23]; [118   2  91  28  64   0 683   0  14   0]; [  0   0   0   0   0  23   0 958   0  19]; [  8   1   6   3   3   4   6   3 966   0]; [  0   0   0   0   0  11   1  35   0 953]]
1,100,tanh,sgd,constant,0.001,False,282.7163245677948,0.8773,[[826   4  15  18   3   0 117   1  16   0]; [  4 968   6  12   4   0   5   0   1   0]; [ 21   1 821  10  77   2  63   1   4   0]; [ 23   6  18 880  35   0  36   0   2   0]; [  1   1  95  35 797   1  67   0   3   0]; [  0   0   0   1   0 943   0  26   5  25]; [123   1  87  26  70   0 678   0  14   1]; [  0   0   0   0   0  19   0 958   0  23]; [ 11   0   6   5   2   8  14   4 947   3]; [  0   0   0   0   0  14   1  30   0 955]]
1,100,relu,adam,constant,0.001,False,41.16398096084595,0.8756,[[834   4  13  24   2   0 110   2  11   0]; [  5 977   0  10   5   0   0   0   3   0]; [ 26   1 787  15  99   0  68   1   3   0]; [ 36  13  13 871  26   2  28   0  10   1]; [  1   1  86  35 812   0  59   0   5   1]; [  0   1   0   0   0 939   0  44   0  16]; [134   1  77  28  75   0 675   0   9   1]; [  0   0   0   0   0  14   0 940   1  45]; [  8   0   6   1   6   8   5   4 961   1]; [  0   0   0   1   0  11   1  27   0 960]]
1,100,relu,lbfgs,constant,0.001,False,85.86618614196777,0.8745,[[803   1  19  29   5   1 137   0   5   0]; [  3 971   2  13   5   0   6   0   0   0]; [ 21   2 799   9  85   1  80   0   3   0]; [ 28  19  19 862  36   0  32   0   4   0]; [  0   1  94  29 807   1  65   0   3   0]; [  2   0   0   1   0 953   0  20   4  20]; [119   3  86  27  62   2 692   0   9   0]; [  0   0   0   0   0  24   0 949   2  25]; [  8   0  10   4   3   5  12   4 954   0]; [  0   0   1   0   0  11   0  30   3 955]]
1,100,relu,sgd,invscaling,0.001,False,15.668065309524536,0.7881,[[779   4  16  81   9   6  89   1  15   0]; [  8 930   7  38   6   1   8   0   2   0]; [ 18   1 638  12 173   6 138   0  13   1]; [ 30   8  12 851  30   5  59   0   5   0]; [  3   2 118  37 723   3 104   0  10   0]; [  0   2   1   3   0 850   0  89   6  49]; [189   2 156  44 134  16 427   0  32   0]; [  0   0   0   0   0  59   0 868   0  73]; [  6   1   5  10   7  27  26  11 904   3]; [  0   0   0   1   1  36   2  47   2 911]]
