hidden_layers,neurons,activation,solver,learning_rate,learning_rate_init,early_stopping,training_time,accuracy,confusion_matrix
1,100,relu,sgd,constant,0.001,False,97.989497423172,0.8856,[[836   1  12  27   5   1 109   0   8   1]; [  1 966   3  21   5   0   3   0   1   0]; [ 22   0 814  11  84   0  69   0   0   0]; [ 25   8  10 891  35   0  26   0   5   0]; [  1   0  90  26 831   0  51   0   1   0]; [  0   0   0   1   0 960   0  24   1  14]; [125   2  82  27  69   0 685   0  10   0]; [  0   0   0   0   0  18   0 961   0  21]; [  7   0   7   4   6   6   6   4 959   1]; [  1   0   0   0   0  13   0  33   0 953]]
2,100,relu,sgd,constant,0.001,False,128.33392119407654,0.8816,[[821   1  16  27   7   2 115   1  10   0]; [  5 965   3  19   4   0   3   0   1   0]; [ 14   2 797  17  95   1  73   0   1   0]; [ 20   6  14 893  32   1  31   0   3   0]; [  1   0  87  25 834   0  50   0   3   0]; [  0   0   0   1   0 950   1  24   2  22]; [118   2  79  29  70   0 693   0   9   0]; [  0   0   0   0   0  18   0 959   0  23]; [  7   0   3   3   8   7  10   5 957   0]; [  0   0   0   0   0  15   2  35   1 947]]
4,100,relu,sgd,constant,0.001,False,196.22397255897522,0.8703,[[813   2  23  23   7   1 122   0   9   0]; [  5 960   4  20   6   0   4   0   1   0]; [ 22   3 795  11  84   1  81   0   3   0]; [ 32  12  13 854  40   1  43   0   5   0]; [  2   1  82  27 824   0  61   0   3   0]; [  0   0   1   2   1 944   0  29   2  21]; [123   0  88  26  69   2 675   0  17   0]; [  0   0   0   0   0  18   0 947   1  34]; [ 10   0   3   6   6   5  12   6 950   2]; [  0   0   2   0   0  14   1  42   0 941]]
8,100,relu,sgd,constant,0.001,False,222.2135694026947,0.8679,[[840   1  23  28   9   1  90   0   8   0]; [  6 969   3  13   5   0   3   0   1   0]; [ 26   1 762  13  90   2 105   0   1   0]; [ 35   9  16 875  32   1  29   0   3   0]; [  2   2 101  37 774   2  76   0   6   0]; [  0   0   0   1   0 953   1  25   3  17]; [147   1  90  34  61   1 654   0  12   0]; [  0   0   0   0   0  20   0 948   1  31]; [ 12   5   9   2   6   6   5   5 950   0]; [  1   0   1   0   0   9   1  31   3 954]]
16,100,relu,sgd,constant,0.001,False,406.8141288757324,0.864,[[801   1  20  37   3   0 132   0   6   0]; [  5 967   2  19   4   0   2   0   1   0]; [ 23   1 765  16  94   0 100   0   1   0]; [ 33  10  16 871  30   3  34   0   3   0]; [  0   1 108  39 778   2  72   0   0   0]; [  0   0   0   1   0 970   1  17   4   7]; [135   1  91  29  66   0 661   0  17   0]; [  0   0   0   0   0  17   0 957   0  26]; [  4   0   4   5   2   8  33   2 938   4]; [  0   0   0   0   0  17   1  48   2 932]]
1,20,relu,sgd,constant,0.001,False,47.73049974441528,0.8667,[[820   2  17  34   2   0 118   0   7   0]; [  3 961   4  23   2   0   4   0   3   0]; [ 15   2 800  13  80   1  89   0   0   0]; [ 27  14  17 873  33   3  30   0   3   0]; [  0   1 102  35 788   0  71   0   3   0]; [  0   1   0   0   0 925   0  37   8  29]; [127   3 103  34  68   0 651   0  14   0]; [  0   0   0   0   0  24   0 946   0  30]; [  7   0   6   7   5   4  13   4 954   0]; [  0   0   0   0   0  13   1  37   0 949]]
1,50,relu,sgd,constant,0.001,False,72.04012489318848,0.8799,[[822   0  21  34   5   1 109   0   8   0]; [  2 969   3  19   3   0   3   0   1   0]; [ 22   0 808  15  86   1  66   1   1   0]; [ 17  10  10 896  31   2  29   0   5   0]; [  0   0  84  29 822   0  62   0   3   0]; [  0   0   0   1   0 940   0  33   2  24]; [128   4  90  32  67   0 667   0  12   0]; [  0   0   0   0   0  20   0 950   0  30]; [  5   0   5   6   4   4   9   4 963   0]; [  0   0   0   2   0   9   1  26   0 962]]
1,200,relu,sgd,constant,0.001,False,180.00230813026428,0.8871,[[827   0  12  26   5   1 119   1   9   0]; [  0 966   3  21   7   0   2   0   1   0]; [ 19   1 808  11  87   1  70   0   3   0]; [ 17   8  12 902  32   0  27   0   2   0]; [  2   1  77  27 832   0  57   0   4   0]; [  0   0   0   1   0 954   0  21   2  22]; [106   1  70  30  67   0 718   0   8   0]; [  0   0   0   0   0  22   0 956   0  22]; [  6   0   4   5   6   6   9   5 958   1]; [  0   0   0   0   0  11   1  38   0 950]]
1,500,relu,sgd,constant,0.001,False,408.91632986068726,0.8936,[[829   1  14  20   4   1 122   0   9   0]; [  2 970   1  18   5   0   3   0   1   0]; [ 24   2 823  11  74   1  61   1   3   0]; [ 26   8  12 892  33   0  25   0   4   0]; [  1   1  77  31 838   0  51   0   1   0]; [  0   0   0   1   0 961   0  20   2  16]; [109   2  69  23  58   0 730   0   9   0]; [  0   0   0   0   0  16   0 964   0  20]; [  6   0   5   7   2   3   5   4 968   0]; [  0   0   0   0   0   4   1  34   0 961]]
1,100,logistic,sgd,constant,0.001,False,117.12636351585388,0.8719,[[830   1  12  39   7   0 102   0   8   1]; [  4 958   4  25   4   0   3   0   2   0]; [ 16   1 802  14 102   2  60   0   3   0]; [ 19  11  12 891  34   1  29   0   3   0]; [  0   0 103  35 805   0  53   0   4   0]; [  0   0   0   1   0 932   0  39   4  24]; [128   3  94  38  80   1 646   0  10   0]; [  0   0   0   0   0  27   0 941   0  32]; [  2   1   5   7   5   3   9   4 964   0]; [  0   0   0   0   0   8   1  41   0 950]]
1,100,tanh,sgd,constant,0.001,False,111.19290661811829,0.8818,[[840   3  16  25   6   1 102   0   7   0]; [  1 965   0  20   4   0  10   0   0   0]; [ 17   1 808  17  89   3  61   0   4   0]; [ 22   7  11 899  26   1  27   0   6   1]; [  1   1  85  33 819   1  54   0   6   0]; [  3   0   0   2   0 939   0  30   3  23]; [129   1  84  31  77   0 667   0  11   0]; [  0   0   0   0   0  15   0 969   0  16]; [  5   1   5   3   6   3  12   5 959   1]; [  0   0   0   0   0   7   1  39   0 953]]
1,100,relu,adam,constant,0.001,False,54.475937604904175,0.8794,[[836   2  23  23   7   1 101   0   7   0]; [  5 970   3  11   8   0   2   0   1   0]; [ 23   1 833  12  65   1  60   0   5   0]; [ 30  15  13 862  42   0  34   0   4   0]; [  0   1 100  24 805   0  68   0   2   0]; [  0   0   0   1   0 954   0  22   3  20]; [123   2  95  27  73   0 667   0  13   0]; [  0   0   0   0   0  19   0 955   2  24]; [  7   0   6   3   8   4   6   5 959   2]; [  0   0   2   0   0  12   0  32   1 953]]
1,100,relu,lbfgs,constant,0.001,False,62.63882112503052,0.8777,[[816   2  16  31   4   0 124   1   6   0]; [  2 972   1  18   2   0   3   0   2   0]; [ 19   0 819   9  85   1  64   0   3   0]; [ 28  11  13 885  32   1  26   0   4   0]; [  0   1 102  32 800   0  60   0   5   0]; [  0   0   0   0   0 947   0  25   3  25]; [125   4  80  28  67   0 682   0  14   0]; [  1   0   0   0   0  17   0 959   1  22]; [  7   0   8   7   3   6  13   4 952   0]; [  0   0   0   1   0  13   1  38   2 945]]
1,100,relu,sgd,invscaling,0.001,False,20.393446445465088,0.7934,[[781   4  11  73   6   7 103   0  14   1]; [  1 930  10  43   4   0  11   0   1   0]; [ 17   1 674   8 163   7 118   0  12   0]; [ 48   9  13 825  37   3  60   0   5   0]; [  1   2 109  34 740   5 101   0   8   0]; [  0   1   0   0   0 855   0  90   4  50]; [185   2 139  46 127   7 457   1  36   0]; [  0   0   0   0   0  69   0 854   1  76]; [  1   1  11  11   6  16  18  19 916   1]; [  0   0   0   2   0  39   2  53   2 902]]
1,100,relu,sgd,adaptive,0.001,False,102.0526270866394,0.8835,[[827   2  13  22   2   1 125   0   8   0]; [  4 969   1  17   3   0   3   0   3   0]; [ 22   0 813  12  82   2  66   0   3   0]; [ 20   7  12 888  36   1  31   0   5   0]; [  2   0  88  25 819   0  62   0   4   0]; [  0   0   0   0   0 955   0  20   2  23]; [117   1  83  30  70   1 686   0  11   1]; [  0   0   0   0   0  18   0 963   0  19]; [  8   0   7   7   2   3   8   3 962   0]; [  0   1   0   0   0   8   1  37   0 953]]
1,100,relu,sgd,constant,0.1,False,36.16046380996704,0.863,[[849   1  16  27   4   0  95   1   7   0]; [ 10 949   3  26   5   1   4   0   2   0]; [ 27   1 784   9  90   0  82   0   5   2]; [ 28   1  15 865  32   1  54   0   4   0]; [  3   0 114  40 772   0  66   0   5   0]; [  0   0   0   1   0 977   0   9   1  12]; [145   0  92  21  88   3 637   1  13   0]; [  0   0   0   0   0  54   0 890   0  56]; [  7   1   5   6   7  12   8   3 948   3]; [  0   0   0   1   0  19   2  19   0 959]]
1,100,relu,sgd,constant,0.01,False,87.52218055725098,0.882,[[832   2  19  25   5   0 111   0   6   0]; [  5 976   1  12   4   0   1   0   1   0]; [ 19   1 814  13  74   4  72   0   3   0]; [ 29  11  12 878  33   0  32   0   4   1]; [  0   1  96  23 812   0  65   0   3   0]; [  0   0   0   1   0 951   0  22   4  22]; [123   1  82  27  65   0 695   0   7   0]; [  0   0   0   0   0  13   0 954   0  33]; [  7   0   8   8   2   4  10   6 955   0]; [  0   0   1   0   0  12   1  32   1 953]]
1,100,relu,sgd,constant,0.0001,False,101.91354584693909,0.8623,[[830   0   6  43   3   0 106   0  12   0]; [  1 958   2  27   5   0   5   0   2   0]; [ 18   2 790  15 107   1  63   0   4   0]; [ 24  12  10 883  34   3  30   0   4   0]; [  1   1  94  34 801   1  65   0   3   0]; [  1   0   0   0   0 932   0  37   2  28]; [149   2  98  40  85   0 609   0  17   0]; [  0   0   0   0   0  34   0 935   0  31]; [  7   1   3   7   6   8  14   5 948   1]; [  0   0   0   1   0  18   1  43   0 937]]
1,100,relu,sgd,constant,0.001,True,56.56973600387573,0.8796,[[840   3  18  27   4   0 100   0   8   0]; [  5 965   0  21   4   0   4   0   1   0]; [ 18   0 801  16  93   1  69   1   1   0]; [ 30   8  12 891  33   0  22   1   3   0]; [  4   0  87  31 825   0  52   0   1   0]; [  0   1   0   0   0 954   0  24   3  18]; [137   2  94  29  69   0 659   0   9   1]; [  0   0   0   0   0  24   0 954   0  22]; [ 10   0   6   7   5   8   7   6 950   1]; [  0   0   0   0   0   9   1  32   1 957]]
