run,model,portion_correct,test_loss,total_train_time,confusion_matrix
0,simple,0.892,0.33208586405962703,110.52093625068665,[[866   0  12  20   4   2  88   0   8   0]; [  3 967   1  23   2   0   4   0   0   0]; [ 25   1 818  15  80   0  55   0   6   0]; [ 34   5   9 895  31   0  19   0   7   0]; [  2   1  79  24 828   0  61   0   5   0]; [  0   0   0   1   0 958   0  21   2  18]; [127   1  59  24  59   0 720   0  10   0]; [  0   0   0   0   0  18   0 942   1  39]; [  8   0   4   6   5   2   7   5 963   0]; [  0   0   0   0   0   6   1  30   0 963]]
1,simple,0.8861,0.3413944970816374,106.061026096344,[[774   0  17  27   3   3 167   0   9   0]; [  2 968   1  24   2   0   3   0   0   0]; [ 13   0 838  15  50   0  80   0   4   0]; [ 17   4  12 913  15   1  34   0   4   0]; [  0   1 117  52 732   0  93   0   5   0]; [  0   0   0   1   0 963   0  21   1  14]; [ 67   0  61  31  33   0 800   0   8   0]; [  0   0   0   0   0  19   0 959   0  22]; [  6   1   6   7   2   2   9   7 960   0]; [  0   0   0   0   0   7   1  38   0 954]]
