run,model,portion_correct,test_loss,total_train_time,confusion_matrix
0,simple,0.8896,0.5625111620873213,26.703826904296875,[[838   2  19  15   5   0 115   0   6   0]; [  4 979   2  10   2   0   2   0   1   0]; [ 22   0 790   9 110   0  69   0   0   0]; [ 19  10  13 908  23   0  25   0   2   0]; [  1   0  66  35 840   0  58   0   0   0]; [  0   0   0   0   0 956   0  19   1  24]; [118   1  67  24  80   0 704   0   6   0]; [  0   0   0   0   0  12   0 944   0  44]; [  6   0   1   3  10   4   8   3 963   2]; [  0   0   0   0   0   4   1  21   0 974]]
1,simple,0.8941,0.5705286910604628,25.95521569252014,[[832   0  18  18   6   1 118   0   7   0]; [  3 981   2  10   2   0   1   0   1   0]; [ 12   0 807   7  87   0  86   0   1   0]; [ 20   7  22 893  32   0  22   0   4   0]; [  3   1  69  26 855   1  44   0   1   0]; [  0   0   0   1   0 967   0  13   2  17]; [101   3  65  23  73   0 724   0  11   0]; [  0   0   0   0   0  32   0 951   1  16]; [  4   0   4   5   3   2   1   3 978   0]; [  0   0   0   0   0   8   1  38   0 953]]
2,simple,0.892,0.5698702473193407,25.725990295410156,[[859   1  10  10   4   1 112   0   3   0]; [  4 978   2   8   5   0   2   0   1   0]; [ 26   1 816   8  78   0  70   0   1   0]; [ 23  20  12 873  30   0  37   0   5   0]; [  0   0  88  25 818   1  66   0   2   0]; [  0   0   0   0   0 971   0  19   1   9]; [128   1  71  20  60   0 712   0   8   0]; [  0   0   0   0   0   8   0 975   0  17]; [  6   0   2   2   5   6   7   8 964   0]; [  0   0   0   0   0  11   1  34   0 954]]
